"International investment position, Canadian direct investment abroad and foreign direct investment in Canada, by North American Industry Classification System (NAICS) and region, annual (x 1,000,000)",,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0009-01 (formerly CANSIM 376-0052),,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries or regions 1,"Total, all countries",,,,,,,,,,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS) 2 3 4,Canadian and foreign direct investment,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,
"Total, all industries",Canadian direct investment abroad - total book value 5,"290,730","356,506","399,253","435,494","412,217","448,546","452,195","518,839","515,294","641,920","630,818","637,285","675,020","704,335","778,371","845,203","1,043,822","1,105,175","1,216,032","1,409,653","1,613,703","1,666,652","1,789,747","1,989,561"
,Foreign direct investment in Canada - total book value,"252,563","319,116","340,429","356,819","373,685","379,450","397,828","437,171","512,266","550,539","573,901","592,406","603,455","633,778","688,873","744,671","782,912","810,668","847,063","977,690","1,137,849","1,079,053","1,192,259","1,263,887"
"Agriculture,forestry, fishing and hunting  [11]",Canadian direct investment abroad - total book value 5,596,464,502,596,571,611,695,"1,558","3,608","4,018","3,797","6,024","4,092","3,827","3,377","2,566","2,657","3,266","1,557","1,793","4,420","2,386","2,560","3,552"
,Foreign direct investment in Canada - total book value,631,470,823,"1,607","1,499","1,284","1,052","1,816","1,948","1,989","1,440","1,270",x,533,335,375,425,144,182,"5,678","2,665","2,513","4,543","3,372"
Mining and oil and gas extraction  [21],Canadian direct investment abroad - total book value 5,"39,623","43,400","47,210","56,086","52,794","63,139","72,163","86,031","90,304","111,703","107,005","122,006","129,682","143,874","160,765","173,743","188,121","187,331","181,319","168,655","197,784","201,864","214,043","233,234"
,Foreign direct investment in Canada - total book value,"24,320","32,657","46,153","48,010","46,951","51,673","64,525","78,904","97,785","95,448","93,634","111,955","118,214","116,872","147,487","174,142","168,807","172,932","172,745","177,034","159,083","109,671","119,180","130,119"
Oil and gas extraction  [211],Canadian direct investment abroad - total book value 5,"13,288","17,623","20,966","29,901","27,868","38,284","44,686","50,815","50,065","65,000","51,120","59,500","59,809","56,915","53,569","63,172","64,892","67,835","70,812","59,585","72,334","43,378","22,550","31,803"
,Foreign direct investment in Canada - total book value,"17,619","25,412","36,487","39,096","38,404","40,557","50,592","49,545","66,856","77,305","73,564","86,828","95,493","85,993","108,281","122,548","133,470","134,715","133,132","136,071","102,964","75,774","83,915","90,036"
